ID;_frage;_antwort_1;_antwort_2;_antwort_3;_antwort_4;_loesung;_kategorie
15117;Welches alpine Geschwisterpaar holte 6 der 9 von Liechtenstein gewonnenen olymp. Medaillen?;Ianica und Ivica Kostelic;Hanni und Andreas Wenzel;Macarena und Javier Simari Birkner;Pirmin und Heidi Zurgriggen;2;Wintersport
22198;Wie sind Shirley MacLaine und Warren Beatty verwandt?;Mann und Frau;Die Väter waren Brüder;Vetter und Kusine;Bruder und Schwester;4;Unterhaltung
4108;In DMP-Programmen werden chronisch kranke Patienten systematisch behandelt. Wofür steht "DMP"?;Disease-Management-Progress;Disease-Management-Patient;Disease-Management-Programm;Disease-Management-Problems;3;Medizin
19755;Wie heißt der größte See Hessens?;Diemelsee;Twistesee;Edersee;Aartalsee;3;Geographie
3768;Für welches Exportprodukt ist Südafrika international bekannt?;Reis;Kiwi;Wein;Tee;3;Reisen
13298;Welchen Beruf übte Prinzessin Letizia vor ihrer Heirat mit Felipe von Spanien aus?;Krankenschwester;Journalistin;Friseurin;Rechtsanwältin;2;High-Society
16880;Wer gilt als der Verfasser der ältesten bekannten indischen Dramen?;Banabhatta;Jayakanthan;Akhandanand;Ashvaghosha;4;Literatur
3069;Die Stadt Pittsburgh gehört zu welchem amerikanischen Bundesstaat?;Ohio;Oklahoma;Oregon;Pennsylvania;4;Erdkunde
16171;Welches war Hitchcocks letzter Film?;Familiengrab;Frenzy;Cocktail für eine Leiche;Marnie;1;Unterhaltung
801;Abdul Ahad Mohmand war erster Raumfahrer welchen Landes?;Syrien;Saudi-Arabien;Kuwait;Afghanistan;4;Technik
14289;Welcher griechische Gelehrte formulierte die Gesetze des Schwerpunktes?;Kreon;Sokrates;Archimedes;Thales;3;Physik
12268;Welche Haarfarbe hat das "Mädchen mit den Schwefelhölzern" im gleichnamigen Märchen?;rot;schwarz;braun;blond;4;Literatur
5249;In welchen gängigen Größen werden externe Festplatten angeboten?;1,8 / 2,5 / 3,5 Zoll;7,5 / 5,25 Zoll;3,5 / 5,25 / 8 Zoll;3,25 / 3,5 Zoll;1;Digital
12206;Welche Früchte wachsen an einem Johannisbrotbaum?;Beerenfrüchte;Hülsenfrüchte;Nüsse;Steinfrüchte;2;Pflanzen
23251;Wo befindet sich die Einkaufsstraße Zeil?;Köln;Frankfurt/M;Hamburg;Düsseldorf;2;Reisen
11684;Welche berühme Person ist nicht 1959 verstorben?;Errol Flynn;Mario Lanza;Ernest Hemingway;Adrian Wettach;3;Leute
8840;Was bedeutet der Titel "Augustus" in deutsch?;der reich Begüterte;Kaiser;der Erhabene;erster Bürger;3;Geschichte
14693;Welcher Reichskanzler emigrierte 1934 in die USA?;Heinrich Brüning;Kurt von Schleicher;Wilhelm Cuno;Franz von Papen;1;Politik
11616;Welche bayrische Region hat die größte Brauereidichte?;Schwaben;Oberfranken;Mittelfranken;Oberbayern;2;Mehr Allgemeines
23709;Wo landet man, wenn die Fluglinie "EVA Air" einen in ihr Herkunftsland befördert?;Taiwan;Usbekistan;USA;Seychellen;1;Reisen
23656;Wo ist Popeye tätowiert?;An den Beinen;An den Armen;Auf der Brust;Auf dem Schulterblatt;2;Unterhaltung
9203;Was für Tiere sind "Medusen";Wasserflöhe;Mücken;Echsen;Quallen;4;Tiere
25110;Zu welcher Tageszeit ist mit verstärktem Wildwechsel zu rechnen?;Punkt 12 Uhr;In den Mittagsstunden;Im Morgengrauen;Am frühen Nachmittag;3;Auto & Verkehr
2970;Die offizielle Währung Arubas ist der...?;Aruba-Euro;Aruba-Florin;Aruba-Dollar;Aruba-Gulden;2;Geographie
11344;Was wird in einem Humidor aufbewahrt?;Zigarren;Akten;Briefmarken;Schalentiere;1;Mehr Allgemeines
24517;Wofür steht die Abkürzung "RFID"?;radio-frequency identification;radio-frequency implementation;radio-frequency information;radio-frequency imagination;1;Technik
24690;Womit ist man unterwegs, wenn man "per Pedes" unterwegs ist?;mit dem Bus;zu Fuß;mit dem Auto;mit dem Rad;2;Sprache
7839;Wann gelang das erste Kopplungsmanöver mit zwei bemannten Raumkapseln im Weltraum?;Am 3 März 1969 mit Apollo 9 und Apollo 10;Am 15 Mai 1963 mit Mercury 8 und Mercury 9;Am 16März 1966 mit Gemini 8 und Gemini 9;Am 16 Januar 1969 mit Sojus 4 und Sojus 5;4;Luft- & Raumfahrt
11242;Was war die "Maginot-Linie"?;ein Teil der ehemaligen DDR-Grenzanlagen;ein Festungsgürtel aus riesigen Betonbunkern;ehemalige Grenze zwischen Nord- und Südvietnam;eine Seeblockade;2;Geschichte
1475;Aus welcher Operette stammt die Melodie: "Grüß euch Gott, alle miteinander"?;Der Vogelhändler;Die Fledermaus;Der Zigeunerbaron;Der Opernball;1;Musik
25135;Zur Behandlung welcher Krankheit wird Chinin eingesetzt?;Hepatitis;Malaria;Pest;Tuberkulose;2;Medizin
14560;Welcher Name bezeichnet nicht die gleiche Person?;Amenhotep;Amenophis;Mentuhotep;Echnaton;3;Geschichte
7940;Wann machte Bundeskanzler Brandt einen Kniefall, der in die Geschichte einging?;7 Dezember 1970;8 September 1969;03 Oktober 1970;13 November 1971;1;Geschichte
4923;In welchem Land liegt der Thunersee?;Tunesien;Schweiz;Österreich;Deutschland;2;Geographie
977;An welchem Freitag stürzten die Weltbörsen ab und leiteten die Weltwirtschaftskrise ein?;Schwarzer Freitag;Freitag der 13.;Blauer Freitag;Blutiger Freitag;1;Wirtschaft
13942;Welcher dieser Filme wurde im Jahr 1981 veröffentlicht?;Das Boot;Die Brücke am Kwai;Jurassic Park;Papillon;1;Film
4191;In welchem Alter starb die vom Volk verehrte argentinische Präsidentengattin Evita Peron?;33 Jahre;45 Jahre;57 Jahre;63 Jahres;1;Geschichte
20222;Wie heißt die Hauptstadt von Bulgarien?;Budapest;Sofia;Bukarest;Prag;2;Geographie
5782;In welcher Stadt wurden am 27. April 1908 die IV. Olympischen Sommerspiele der Neuzeit eröffnet?;St Louis;Paris;Amsterdam;London;4;Mehr Sport
3544;Es gehört nicht zu den Aufgaben des deutschen Bundestages...;den Bundeskanzler/die Bundeskanzlerin zu wählen;die Bundesregierung zu kontrollieren;Gesetze zu entwerfen;das Bundeskabinett zu bilden;4;Sachsen-Anhalt
